
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:     1.98
-0.09091 -0.14067 1.98000 
-0.15152 -0.13756 1.98000 
-0.21212 -0.13310 1.98000 

-0.21212 -0.13310 1.98000 
-0.26909 -0.12782 1.98000 
-0.27273 -0.12747 1.98000 
-0.33333 -0.12027 1.98000 
-0.39076 -0.11278 1.98000 
-0.39394 -0.11237 1.98000 
-0.45455 -0.10313 1.98000 
-0.48700 -0.09774 1.98000 
-0.51515 -0.09330 1.98000 
-0.57576 -0.08300 1.98000 
-0.57717 -0.08271 1.98000 
-0.63636 -0.07171 1.98000 
-0.65573 -0.06767 1.98000 
-0.69697 -0.06010 1.98000 
-0.73318 -0.05263 1.98000 
-0.75758 -0.04831 1.98000 
-0.81185 -0.03759 1.98000 
-0.81818 -0.03654 1.98000 
-0.87879 -0.02419 1.98000 
-0.88281 -0.02256 1.98000 
-0.93939 -0.01089 1.98000 
-0.94015 -0.00752 1.98000 
-0.94015 0.00752 1.98000 
-0.93939 0.01089 1.98000 
-0.88281 0.02256 1.98000 
-0.87879 0.02419 1.98000 
-0.81818 0.03654 1.98000 
-0.81185 0.03759 1.98000 
-0.75758 0.04831 1.98000 
-0.73318 0.05263 1.98000 
-0.69697 0.06010 1.98000 
-0.65573 0.06767 1.98000 
-0.63636 0.07171 1.98000 
-0.57717 0.08271 1.98000 
-0.57576 0.08300 1.98000 
-0.51515 0.09330 1.98000 
-0.48700 0.09774 1.98000 
-0.45455 0.10313 1.98000 
-0.39394 0.11237 1.98000 
-0.39076 0.11278 1.98000 
-0.33333 0.12027 1.98000 
-0.27273 0.12747 1.98000 
-0.26909 0.12782 1.98000 
-0.21212 0.13310 1.98000 
-0.15152 0.13756 1.98000 
-0.09091 0.14067 1.98000 
-0.03030 0.14227 1.98000 
0.03030 0.14227 1.98000 
0.09091 0.14067 1.98000 
0.15152 0.13756 1.98000 
0.21212 0.13310 1.98000 
0.26909 0.12782 1.98000 
0.27273 0.12747 1.98000 
0.33333 0.12027 1.98000 
0.39076 0.11278 1.98000 
0.39394 0.11237 1.98000 
0.45455 0.10313 1.98000 
0.48700 0.09774 1.98000 
0.51515 0.09330 1.98000 
0.57576 0.08300 1.98000 
0.57717 0.08271 1.98000 
0.63636 0.07171 1.98000 
0.65573 0.06767 1.98000 
0.69697 0.06010 1.98000 
0.73318 0.05263 1.98000 
0.75758 0.04831 1.98000 
0.81185 0.03759 1.98000 
0.81818 0.03654 1.98000 
